Column1,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
0,10/04/2024 19:06,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.71,0.5041,0.71,0.589590643,0.643333333,0.413877778,0.643333333,0.503705206,0.71,0.5041,0.71,0.589590643,0.676666667,0.457877778,0.676666667,0.546176276,0.828571429,0.835647532,0.828571429,0.810718936,0.683333333,0.651736111,0.683333333,0.646878868,0.941428571,0.942756654,0.941428571,0.940006015,0.62,0.583429107,0.62,0.594306818,0.784285714,0.80268254,0.784285714,0.744468409,0.696666667,0.722529762,0.696666667,0.633680605,0.762857143,0.809161701,0.762857143,0.700749901,0.643333333,0.599508393,0.643333333,0.558010171,0.05606135,0.057600371,0.026040058,0.070701762,0.026040058,0.070701762,0.011833958,0.008249721,0,0,0.013748574,0.026978818,0.047249011,0.027311026,0,0,0.059252064,0.036753668,0.044227392,0.049350649,0,0,0.013748574,0.043722944
1,10/04/2024 19:06,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.71,0.5041,0.71,0.589590643,0.643333333,0.413877778,0.643333333,0.503705206,0.71,0.5041,0.71,0.589590643,0.676666667,0.457877778,0.676666667,0.546176276,0.828571429,0.835647532,0.828571429,0.810718936,0.683333333,0.651736111,0.683333333,0.646878868,0.928571429,0.933543302,0.928571429,0.925587607,0.68,0.656536825,0.68,0.660084559,0.784285714,0.80268254,0.784285714,0.744468409,0.696666667,0.722529762,0.696666667,0.633680605,0.781428571,0.827879867,0.781428571,0.731126638,0.66,0.670581614,0.66,0.560125,0.05606135,0.057600371,0.074929654,0.331317957,0.074929654,0.331317957,0.011833958,0.008249721,0,0,0.004582858,0.175473802,0.047249011,0.027311026,0,0,0.024075487,0.186189531,0.044227392,0.049350649,0,0,0.070346795,0.175473802
2,10/04/2024 19:07,German Credit,1,0,Demographic Parity,420,180,1,0.126871984,0.657142857,0.775256323,0.657142857,0.526020488,0.694444444,0.78833023,0.694444444,0.57475923,0.49047619,0.240566893,0.49047619,0.322805416,0.522222222,0.272716049,0.522222222,0.358313058,0.85952381,0.859635409,0.85952381,0.859535756,0.761111111,0.766340965,0.761111111,0.760867731,0.976190476,0.976190476,0.976190476,0.976190476,0.761111111,0.764795322,0.761111111,0.761044751,0.835714286,0.854639368,0.835714286,0.822898395,0.761111111,0.750191571,0.761111111,0.742871668,0.821428571,0.838948953,0.821428571,0.806794191,0.744444444,0.732309942,0.744444444,0.714814815,0.084043404,0.143678161,0.031104609,0.246342738,0.031104609,0.246342738,0.060833333,0.083333333,0,0,0.011041667,0.068181818,0.119138086,0.160138249,0,0,0.109089091,0.221774194,0.060833333,0.083333333,0,0,0.020062943,0.17816092
3,10/04/2024 19:07,German Credit,1,0,Demographic Parity,420,180,0.25,0.126871984,0.652380952,0.425600907,0.652380952,0.515136545,0.688888889,0.474567901,0.688888889,0.561988304,0.49047619,0.240566893,0.49047619,0.322805416,0.522222222,0.272716049,0.522222222,0.358313058,0.85952381,0.859635409,0.85952381,0.859535756,0.761111111,0.766340965,0.761111111,0.760867731,0.985714286,0.985714286,0.985714286,0.985714286,0.766666667,0.774833333,0.766666667,0.766061055,0.835714286,0.854639368,0.835714286,0.822898395,0.761111111,0.750191571,0.761111111,0.742871668,0.828571429,0.838946799,0.828571429,0.817428571,0.761111111,0.74975955,0.761111111,0.745208275,0.084043404,0.143678161,0.026485215,0.204423546,0.026485215,0.204423546,0.060833333,0.083333333,0,0,0.002291667,0.081818182,0.119138086,0.160138249,0,0,0.119588041,0.132488479,0.060833333,0.083333333,0,0,0.024193548,0.122605364
4,10/04/2024 19:07,German Credit,0,1,Demographic Parity,434,186,1,0.1,0.50921659,0.259301535,0.50921659,0.343624019,0.478494624,0.228957105,0.478494624,0.30971652,0.301843318,0.091109389,0.301843318,0.139969822,0.301075269,0.090646317,0.301075269,0.13934062,0.894009217,0.901027519,0.894009217,0.888145984,0.747311828,0.730798262,0.747311828,0.727597585,0.995391705,0.995421923,0.995391705,0.99538156,0.790322581,0.783234497,0.790322581,0.784669532,0.866359447,0.867348942,0.866359447,0.866188802,0.747311828,0.747903175,0.747311828,0.746539891,0.847926267,0.84962552,0.847926267,0.847615285,0.693548387,0.693712664,0.693548387,0.693610481,0.014533489,0.30308862,0.003542749,0.19007682,0.003542749,0.19007682,0.002015776,0.00308862,0,0,0,0.001187931,0.058611093,0.123827175,0,0,0.080109617,0.118267115,0.012517714,0.3,0,0,0.003542749,0.188888889
5,10/04/2024 19:07,German Credit,0,1,Demographic Parity,434,186,0.25,0.1,0.50921659,0.259301535,0.50921659,0.343624019,0.478494624,0.228957105,0.478494624,0.30971652,0.301843318,0.091109389,0.301843318,0.139969822,0.301075269,0.090646317,0.301075269,0.13934062,0.894009217,0.901027519,0.894009217,0.888145984,0.747311828,0.730798262,0.747311828,0.727597585,0.988479263,0.988666288,0.988479263,0.988414332,0.790322581,0.783234497,0.790322581,0.784669532,0.866359447,0.867348942,0.866359447,0.866188802,0.747311828,0.747903175,0.747311828,0.746539891,0.857142857,0.858094567,0.857142857,0.856960444,0.715053763,0.715898255,0.715053763,0.71378298,0.014533489,0.30308862,0.086206897,0.391399382,0.086206897,0.391399382,0.002015776,0.00308862,0,0,0,0.124732716,0.058611093,0.123827175,0,0,0.102904,0.053631414,0.012517714,0.3,0,0,0.086206897,0.266666667
6,10/04/2024 19:08,German Credit,1,1,Demographic Parity,305,131,1,0,0.521311475,0.271765654,0.521311475,0.357278123,0.450381679,0.202843657,0.450381679,0.279710727,0.498360656,0.248363343,0.498360656,0.331513434,0.503816794,0.253831362,0.503816794,0.337582826,0.898360656,0.898778503,0.898360656,0.898327865,0.740458015,0.740742851,0.740458015,0.740427766,1,1,1,1,0.610687023,0.610758199,0.610687023,0.610687023,0.868852459,0.877452298,0.868852459,0.867581849,0.595419847,0.631741523,0.595419847,0.586405329,0.898360656,0.900928169,0.898360656,0.897988653,0.633587786,0.658190684,0.633587786,0.630590024,0.09326773,0.181992337,0,0.248275862,0,0.248275862,0.009363621,0.111111111,0,0,0,0.133333333,0.044240544,0.087099812,0,0,0.003144654,0.008474576,0.08390411,0.111111111,0,0,0,0.133333333
7,10/04/2024 19:08,German Credit,1,1,Demographic Parity,305,131,0.25,0,0.521311475,0.271765654,0.521311475,0.357278123,0.450381679,0.202843657,0.450381679,0.279710727,0.498360656,0.248363343,0.498360656,0.331513434,0.503816794,0.253831362,0.503816794,0.337582826,0.898360656,0.898778503,0.898360656,0.898327865,0.740458015,0.740742851,0.740458015,0.740427766,0.996721311,0.996742602,0.996721311,0.996721241,0.717557252,0.718113199,0.717557252,0.717458478,0.868852459,0.877452298,0.868852459,0.867581849,0.595419847,0.631741523,0.595419847,0.586405329,0.908196721,0.909123165,0.908196721,0.908030138,0.618320611,0.624715165,0.618320611,0.619211552,0.09326773,0.181992337,0.012658228,0.205938697,0.012658228,0.205938697,0.009363621,0.111111111,0,0,0.012658228,0.055555556,0.044240544,0.087099812,0,0,0.009433962,0.050141243,0.08390411,0.111111111,0,0,0.012658228,0.150383142
8,10/04/2024 19:08,German Credit,0,0,Demographic Parity,700,300,1,0.074801309,0.707142857,0.50005102,0.707142857,0.585833831,0.65,0.4225,0.65,0.512121212,0.287142857,0.08245102,0.287142857,0.128114793,0.33,0.1089,0.33,0.163759398,0.832857143,0.839235909,0.832857143,0.815936576,0.71,0.695166113,0.71,0.669389515,0.908571429,0.912676251,0.908571429,0.904258947,0.643333333,0.616320994,0.643333333,0.622997054,0.78,0.796862894,0.78,0.739708082,0.696666667,0.706851852,0.696666667,0.636869773,0.77,0.82063223,0.77,0.713065233,0.646666667,0.579954181,0.646666667,0.532791856,0.133805785,0.105082869,0.15658969,0.245850128,0.15658969,0.245850128,0.038356164,0.089552239,0,0,0.001226743,0.097014925,0.042769155,0.063003663,0,0,0.108844543,0.12014652,0.095449621,0.089552239,0,0,0.155362947,0.148835203
9,10/04/2024 19:08,German Credit,0,0,Demographic Parity,700,300,0.25,0.074801309,0.707142857,0.50005102,0.707142857,0.585833831,0.65,0.4225,0.65,0.512121212,0.712857143,0.508165306,0.712857143,0.593353985,0.67,0.4489,0.67,0.53760479,0.832857143,0.839235909,0.832857143,0.815936576,0.71,0.695166113,0.71,0.669389515,0.927142857,0.930914535,0.927142857,0.924284281,0.68,0.654344187,0.68,0.653973309,0.78,0.796862894,0.78,0.739708082,0.696666667,0.706851852,0.696666667,0.636869773,0.764285714,0.792696886,0.764285714,0.709897887,0.666666667,0.666666667,0.666666667,0.572916667,0.133805785,0.105082869,0.066108976,0.104657901,0.066108976,0.104657901,0.038356164,0.089552239,0,0,0.009445921,0.014925373,0.042769155,0.063003663,0,0,0.087804878,0.049084249,0.095449621,0.089552239,0,0,0.056663055,0.089732528
