,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Test_loss_predictor,Test_loss_Discriminator_fool,Test_total_loss_gen,Train_loss_predictor,Train_loss_Discriminator_fool,Train_total_loss_gen,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
0,4/16/2024 15:39,German_Credit,0,0,Demographic Parity,700,300,0,0.65375847,0.92479736,1.5786104,0.65934557,0.8767386,1.5366628,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.85,0.859850685,0.85,0.838086254,0.663333333,0.601796779,0.663333333,0.620665263,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.731428571,0.772126482,0.731428571,0.672497192,0.703333333,0.633123457,0.703333333,0.652318882,0.112215489,0.094017882,0.091281935,0.142906046,0.091281935,0.142906046,0.060399202,0.092691622,0,0,0.015369261,0.04741533,0.060499398,0.045949566,0,0,0.023995736,0.061557277,0.060399202,0.092691622,0,0,0.075912673,0.095490716
1,4/16/2024 15:40,German_Credit,0,0,Demographic Parity,700,300,0.5,0.6868508,0.9165693,1.6034288,0.68767494,0.8648574,1.5525825,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.905714286,0.908241971,0.905714286,0.902417878,0.666666667,0.639333153,0.666666667,0.64962887,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.754285714,0.763394597,0.754285714,0.721762442,0.703333333,0.645871212,0.703333333,0.662001296,0.112215489,0.094017882,0.027902622,0.069392474,0.027902622,0.069392474,0.060399202,0.092691622,0,0,0.005708583,0.020320856,0.060499398,0.045949566,0,0,0.062714248,0.036456817,0.060399202,0.092691622,0,0,0.022194039,0.049071618
2,4/16/2024 15:43,German_Credit,0,0,Demographic Parity,700,300,1,0.65177375,0.9218842,1.573732,0.6579299,0.87755954,1.5355752,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.818571429,0.83324816,0.818571429,0.798319969,0.65,0.595391473,0.65,0.614378489,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.692857143,0.773403361,0.692857143,0.592084277,0.733333333,0.603163842,0.733333333,0.634792981,0.112215489,0.094017882,0.110121133,0.276187842,0.110121133,0.276187842,0.060399202,0.092691622,0,0,0.003952096,0.052049911,0.060499398,0.045949566,0,0,0.006093134,0.105934424,0.060399202,0.092691622,0,0,0.106169037,0.224137931
3,4/16/2024 15:46,German_Credit,0,0,Demographic Parity,700,300,1.5,0.64676094,0.9138021,1.5607417,0.653796,0.8653523,1.5193933,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.875714286,0.890346397,0.875714286,0.866172074,0.706666667,0.676946703,0.706666667,0.684306418,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.741428571,0.80794478,0.741428571,0.681586509,0.733333333,0.660818713,0.733333333,0.659751227,0.112215489,0.094017882,0.023113751,0.182109912,0.023113751,0.182109912,0.060399202,0.092691622,0,0,0.008982036,0.029590018,0.060499398,0.045949566,0,0,0.032579427,0.015025333,0.060399202,0.092691622,0,0,0.014131715,0.152519894
4,4/16/2024 15:49,German_Credit,0,0,Demographic Parity,700,300,2,0.6829825,0.92135954,1.6043575,0.6843098,0.8682093,1.5526674,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.917142857,0.919564291,0.917142857,0.914559443,0.69,0.653125443,0.69,0.663111111,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.758571429,0.790743829,0.758571429,0.717505084,0.713333333,0.648062943,0.713333333,0.662354798,0.112215489,0.094017882,0.018251165,0.085693414,0.018251165,0.085693414,0.060399202,0.092691622,0,0,0.002035928,0.002139037,0.060499398,0.045949566,0,0,0.06058211,0.033370217,0.060399202,0.092691622,0,0,0.016215237,0.083554377
5,4/16/2024 15:52,German_Credit,0,0,Demographic Parity,700,300,2.5,0.68273085,0.91625345,1.5991297,0.68409187,0.86333627,1.5477269,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.898571429,0.905439769,0.898571429,0.893463077,0.69,0.65549767,0.69,0.665304977,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.74,0.776870623,0.74,0.687684848,0.703333333,0.616280193,0.703333333,0.641249893,0.112215489,0.094017882,0.070171873,0.12148352,0.070171873,0.12148352,0.060399202,0.092691622,0,0,0.011017964,0.11087344,0.060499398,0.045949566,0,0,0.036935604,0.062954982,0.060399202,0.092691622,0,0,0.059153909,0.11087344
6,4/16/2024 15:55,German_Credit,0,0,Demographic Parity,700,300,3,0.6511626,0.9099638,1.5611274,0.657366,0.8633884,1.5207891,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.691428571,0.478073469,0.691428571,0.565289575,0.72,0.5184,0.72,0.602790698,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.88,0.88403662,0.88,0.874087,0.663333333,0.647264899,0.663333333,0.654132657,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.732857143,0.77747794,0.732857143,0.67360823,0.736666667,0.678309524,0.736666667,0.67421601,0.112215489,0.094017882,0.121816195,0.14846499,0.121816195,0.14846499,0.060399202,0.092691622,0,0,0.00994012,0.112655971,0.060499398,0.045949566,0,0,0.002628411,0.056315881,0.060399202,0.092691622,0,0,0.111876076,0.112655971
7,4/16/2024 15:58,German_Credit,0,0,Demographic Parity,700,300,3.5,0.7004814,0.9189701,1.6194543,0.69954795,0.86669844,1.5662546,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.308571429,0.095216327,0.308571429,0.145527137,0.28,0.0784,0.28,0.1225,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.924285714,0.928736586,0.924285714,0.92156543,0.67,0.615053841,0.67,0.631034609,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.742857143,0.768222468,0.742857143,0.696557731,0.726666667,0.657275986,0.726666667,0.663817113,0.112215489,0.094017882,0.023560546,0.022489208,0.023560546,0.022489208,0.060399202,0.092691622,0,0,0.007345309,0.003921569,0.060499398,0.045949566,0,0,0.064855575,0.000640615,0.060399202,0.092691622,0,0,0.016215237,0.018567639
8,4/16/2024 16:01,German_Credit,0,0,Demographic Parity,700,300,4,0.7200858,0.92461103,1.6447935,0.71684545,0.8721582,1.5892203,0.074801309,0.668571429,0.778573472,0.668571429,0.537245815,0.743333333,0.552544444,0.743333333,0.6338942,0.308571429,0.095216327,0.308571429,0.145527137,0.28,0.0784,0.28,0.1225,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.881428571,0.885306934,0.881428571,0.875714007,0.66,0.626138501,0.66,0.638523894,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.708571429,0.741191809,0.708571429,0.634446417,0.72,0.621380117,0.72,0.642738788,0.112215489,0.094017882,0.056741844,0.061233965,0.056741844,0.061233965,0.060399202,0.092691622,0,0,0.019600798,0.050623886,0.060499398,0.045949566,0,0,0.045519295,0.032962553,0.060399202,0.092691622,0,0,0.037141045,0.050623886
9,4/16/2024 16:05,German_Credit,0,0,Demographic Parity,700,300,4.5,0.6949833,0.9142086,1.6092042,0.6947483,0.86270297,1.5574713,0.074801309,0.667142857,0.445079592,0.667142857,0.533942955,0.743333333,0.552544444,0.743333333,0.6338942,0.308571429,0.095216327,0.308571429,0.145527137,0.28,0.0784,0.28,0.1225,0.832857143,0.832779032,0.832857143,0.822926572,0.723333333,0.699493177,0.723333333,0.704981227,0.911428571,0.91706355,0.911428571,0.907626124,0.706666667,0.66924341,0.706666667,0.675653028,0.795714286,0.808428859,0.795714286,0.775202376,0.733333333,0.699869281,0.733333333,0.707286737,0.754285714,0.775122329,0.754285714,0.715754733,0.713333333,0.655705368,0.713333333,0.668870748,0.112215489,0.094017882,0.06114992,0.106727282,0.06114992,0.106727282,0.060399202,0.092691622,0,0,0.004351297,0.023172906,0.060499398,0.045949566,0,0,0.073411696,0.020849106,0.060399202,0.092691622,0,0,0.056798623,0.083554377
