,Data,Dataset_name,Balance_Class,Balance_Sensitive,Fairness_cost_function,Dataset_training_size,Dataset_testing_size,Fairness_cost_multiplier,Test_loss_predictor,Test_loss_Discriminator_fool,Test_total_loss_gen,Train_loss_predictor,Train_loss_Discriminator_fool,Train_total_loss_gen,Dataset_fairness_Demographic_Parity,Report_DNN_Discriminator_Training_Accuracy,Report_DNN_Discriminator_Training_precision,Report_DNN_Discriminator_Training_recall,Report_DNN_Discriminator_Training_f1,Report_DNN_Discriminator_Testing_Accuracy,Report_DNN_Discriminator_Testing_precision,Report_DNN_Discriminator_Testing_recall,Report_DNN_Discriminator_Testing_f1,Report_Predictor_Training_Accuracy,Report_Predictor_Training_precision,Report_Predictor_Training_recall,Report_Predictor_Training_f1,Report_Predictor_Testing_Accuracy,Report_Predictor_Testing_precision,Report_Predictor_Testing_recall,Report_Predictor_Testing_f1,Report_Before_CatBoost_Prediction_Training_Accuracy,Report_Before_CatBoost_Prediction_Training_precision,Report_Before_CatBoost_Prediction_Training_recall,Report_Before_CatBoost_Prediction_Training_f1,Report_Before_CatBoost_Prediction_Testing_Accuracy,Report_Before_CatBoost_Prediction_Testing_precision,Report_Before_CatBoost_Prediction_Testing_recall,Report_Before_CatBoost_Prediction_Testing_f1,Report_After_CatBoost_Prediction_Training_Accuracy,Report_After_CatBoost_Prediction_Training_precision,Report_After_CatBoost_Prediction_Training_recall,Report_After_CatBoost_Prediction_Training_f1,Report_After_CatBoost_Prediction_Testing_Accuracy,Report_After_CatBoost_Prediction_Testing_precision,Report_After_CatBoost_Prediction_Testing_recall,Report_After_CatBoost_Prediction_Testing_f1,Report_Before_CatBoost_Sensitive_Training_Accuracy,Report_Before_CatBoost_Sensitive_Training_precision,Report_Before_CatBoost_Sensitive_Training_recall,Report_Before_CatBoost_Sensitive_Training_f1,Report_Before_CatBoost_Sensitive_Testing_Accuracy,Report_Before_CatBoost_Sensitive_Testing_precision,Report_Before_CatBoost_Sensitive_Testing_recall,Report_Before_CatBoost_Sensitive_Testing_f1,Report_After_CatBoost_Sensitive_Training_Accuracy,Report_After_CatBoost_Sensitive_Training_precision,Report_After_CatBoost_Sensitive_Training_recall,Report_After_CatBoost_Sensitive_Training_f1,Report_After_CatBoost_Sensitive_Testing_Accuracy,Report_After_CatBoost_Sensitive_Testing_precision,Report_After_CatBoost_Sensitive_Testing_recall,Report_After_CatBoost_Sensitive_Testing_f1,Fairness_Equal_Odd_Before_CatBoost_prediction_Training,Fairness_Equal_Odd_Before_CatBoost_prediction_Testing,Fairness_Equal_Odd_DNN_prediction_Training,Fairness_Equal_Odd_DNN_prediction_Testing,Fairness_Equal_Odd_After_CatBoost_prediction_Training,Fairness_Equal_Odd_After_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Training,Fairness_Equal_Opportunity_Before_CatBoost_prediction_Testing,Fairness_Equal_Opportunity_DNN_prediction_Training,Fairness_Equal_Opportunity_DNN_prediction_Testing,Fairness_Equal_Opportunity_After_CatBoost_prediction_Training,Fairness_Equal_Opportunity_After_CatBoost_prediction_Testing,Fairness_Demographic_Parity_Before_CatBoost_prediction_Training,Fairness_Demographic_Parity_Before_CatBoost_prediction_Testing,Fairness_Demographic_Parity_DNN_prediction_Training,Fairness_Demographic_Parity_DNN_prediction_Testing,Fairness_Demographic_Parity_After_CatBoost_prediction_Training,Fairness_Demographic_Parity_After_CatBoost_prediction_Testing,Fairness_Treatment_Equality_Before_CatBoost_prediction_Training,Fairness_Treatment_Equality_Before_CatBoost_prediction_Testing,Fairness_Treatment_Equality_DNN_prediction_Training,Fairness_Treatment_Equality_DNN_prediction_Testing,Fairness_Treatment_Equality_After_CatBoost_prediction_Training,Fairness_Treatment_Equality_After_CatBoost_prediction_Testing
0,4/16/2024 17:50,COMPAS,0,0,Demographic Parity,42558,18240,0,0.000486856,0.823413,0.9233575,1.59E-07,0.8237703,1.0151218,0.107999732,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,1,1,1,1,0.999890351,0.999890369,0.999890351,0.999890346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.642464402,0.602830507,0.642464402,0.515516808,0.641282895,0.572740425,0.641282895,0.513816507,0,0,0,0,0,0,0,0,0,0.00048216,0,0,0.11159015,0.099606482,0.11159015,0.099435935,0.11159015,0.099606482,0,0,0,0.00048216,0,0
1,4/16/2024 19:57,COMPAS,0,0,Demographic Parity,42558,18240,0.5,0.001677859,0.8432618,0.9448638,2.53E-07,0.8435366,0.98184776,0.107999732,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,1,1,1,1,0.999616228,0.999616444,0.999616228,0.999616166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,0,0,0,0,0,0,0,0,0,0.001693678,0,0,0.11159015,0.099606482,0.11159015,0.099964818,0.11159015,0.099606482,0,0,0,0.001693678,0,0
2,4/16/2024 22:07,COMPAS,0,0,Demographic Parity,42558,18240,1,0.010126833,0.82938874,0.9391072,2.99E-07,0.83008134,1.0027661,0.107999732,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,1,1,1,1,0.999835526,0.999835566,0.999835526,0.999835515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.644555665,0.638497707,0.644555665,0.515734505,0.643804825,0.6080327,0.643804825,0.513715736,0,0,0,0,0,0,0,0,0,0.00012207,0,0,0.11159015,0.099606482,0.11159015,0.099589474,0.11159015,0.099606482,0,0,0,0.00012207,0,0
3,4/17/2024 0:15,COMPAS,0,0,Demographic Parity,42558,18240,1.5,0.003698157,0.82123244,0.92200553,0.004010497,0.82175225,0.86494344,0.107999732,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,0.99964754,0.999647931,0.99964754,0.999647592,0.999451754,0.999452698,0.999451754,0.99945188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.652967715,0.631632886,0.652967715,0.566242764,0.650438596,0.621523116,0.650438596,0.561755699,0,0,0,0,0,0,0,0,0,0,0,0,0.11159015,0.099606482,0.111015421,0.099265153,0.11159015,0.099606482,0,0,0.000728313,0.000369512,0,0
4,4/17/2024 2:25,COMPAS,0,0,Demographic Parity,42558,18240,2,0.000242194,0.8244066,0.92420685,4.23E-07,0.8251679,0.9213222,0.107999732,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,1,1,1,1,0.999835526,0.999835566,0.999835526,0.999835515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.645519056,0.646461918,0.645519056,0.518406765,0.644627193,0.619283493,0.644627193,0.51591032,0,0,0,0,0,0,0,0,0,0.00012207,0,0,0.11159015,0.099606482,0.11159015,0.099589474,0.11159015,0.099606482,0,0,0,0.00012207,0,0
5,4/17/2024 4:33,COMPAS,0,0,Demographic Parity,42558,18240,2.5,0.001939384,0.8563404,0.9571934,0.000499617,0.8574018,0.984992,0.107999732,0.641618497,0.411674296,0.641618497,0.501546853,0.642927632,0.413355939,0.642927632,0.503194336,0.999953005,0.999953012,0.999953005,0.999953006,0.999780702,0.99978075,0.999780702,0.999780712,1,1,1,1,1,1,1,1,0.999976503,0.999976504,0.999976503,0.999976503,0.999780702,0.99978075,0.999780702,0.999780712,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.641735984,0.770104171,0.641735984,0.501817647,0.643037281,0.681215628,0.643037281,0.503547342,0,0,8.69E-05,0.000858618,8.69E-05,0.000858618,0,0,0,0.00024108,0,0.00024108,0.11159015,0.099606482,0.11145902,0.099060591,0.111524585,0.099060591,0,0,0.000173868,0.000617538,8.69E-05,0.000617538
6,4/17/2024 6:39,COMPAS,0,0,Demographic Parity,42558,18240,3,0.041815996,0.93019205,1.0541302,0.042267375,0.9323442,1.0431046,0.107999732,0.653508154,0.636760864,0.653508154,0.561971256,0.650932018,0.625204373,0.650932018,0.557554264,0.999882513,0.999882557,0.999882513,0.999882519,0.999890351,0.999890389,0.999890351,0.999890356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.656539311,0.642777659,0.656539311,0.57026142,0.652357456,0.627675994,0.652357456,0.5637275,0,0,0,0,0,0,0,0,0,0,0,0,0.11159015,0.099606482,0.111466699,0.099538216,0.11159015,0.099606482,0,0,0.000146822,7.39E-05,0,0
7,4/17/2024 8:46,COMPAS,0,0,Demographic Parity,42558,18240,3.5,0.07773329,0.90926415,1.0485101,0.07756479,0.9117165,1.1428791,0.107999732,0.651134922,0.627626724,0.651134922,0.560889163,0.648519737,0.616095994,0.648519737,0.557139007,0.985431646,0.985992548,0.985431646,0.985510509,0.985690789,0.986213665,0.985690789,0.985765141,1,1,1,1,1,1,1,1,0.999694535,0.999694555,0.999694535,0.999694513,0.998410088,0.998409989,0.998410088,0.998409758,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.65336717,0.632795811,0.65336717,0.566812126,0.651699561,0.625529886,0.651699561,0.56310272,0,0,0.001285497,0.003427473,0.001285497,0.003427473,0,0,0.001987592,0.001202341,0.001024695,0.002044592,0.11159015,0.099606482,0.091123185,0.0801734,0.111027235,0.09764496,0,0,0.024554012,0.023894707,0.001024695,0.002044592
8,4/17/2024 10:58,COMPAS,0,0,Demographic Parity,42558,18240,4,0.120050475,0.8618538,1.033439,0.12160688,0.8642327,1.0614567,0.107999732,0.655434936,0.636189338,0.655434936,0.573680784,0.650767544,0.621305811,0.650767544,0.565980983,0.99353823,0.993667156,0.99353823,0.993555421,0.993092105,0.993238908,0.993092105,0.993111615,1,1,1,1,1,1,1,1,1,1,1,1,0.999725877,0.999725977,0.999725877,0.999725896,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.655458433,0.63819029,0.655458433,0.570685402,0.651260965,0.62392351,0.651260965,0.563153616,0,0,0,0.001064464,0,0.001064464,0,0,0,0,0,0.00024108,0.11159015,0.099606482,0.102450011,0.092201177,0.11159015,0.098907052,0,0,0.01138545,0.009047122,0,0.000823384
9,4/17/2024 13:05,COMPAS,0,0,Demographic Parity,42558,18240,4.5,0.16472487,0.86373025,1.0688381,0.16497321,0.8663885,1.160796,0.107999732,0.654495042,0.631468906,0.654495042,0.577052557,0.649725877,0.617327634,0.649725877,0.570511496,0.994995066,0.99507276,0.994995066,0.995005433,0.994133772,0.994239979,0.994133772,0.994147895,1,1,1,1,1,1,1,1,1,1,1,1,0.999725877,0.999726113,0.999725877,0.999725909,0.663635509,0.649842031,0.663635509,0.594411027,0.655811404,0.631283617,0.655811404,0.58200972,0.655411439,0.632857018,0.655411439,0.580310757,0.650328947,0.618512635,0.650328947,0.57375557,0,0,0,0.000691441,0,0.000691441,0,0,0,0,0,0,0.11159015,0.099606482,0.104369121,0.093207921,0.11159015,0.099077599,0,0,0.009017948,0.007838364,0,0.000691441
